"","Head","Tail","Freq"
"1","CUTC","ABCC2",4
"2","LYZ","ABHD2",4
"3","BCR","ABL1",95
"4","MAPKAPK5","ACAD10",16
"5","SHANK3","ACR",1
"6","HSP90AA1","ACTB",16
"7","RN28S1","ACTB",10
"8","S100A9","ACTB",10
"9","EIF3K","ACTN4",4
"10","RIPK3","ADCY4",60
"11","SH3BP2","ADD1",24
"12","DCUN1D2","ADPRHL1",22
"13","TEKT2","ADPRHL2",12
"14","RN28S1","AGPAT1",16
"15","LST1","AIF1",25
"16","AKAP8L","AKAP8",4
"17","C19orf47","AKT2",54
"18","ACAD10","ALDH2",4
"19","TRAK2","ALS2CR12",11
"20","NUDT21","AMFR",1
"21","ASNSD1","ANKAR",120
"22","C4orf29","ANXA1",1
"23","ELMO1","AOAH",20
"24","FTL","ARAP1",22
"25","PPIB","ARF1",1
"26","WNT10B","ARF3",6
"27","RCC1","ARHGAP15",4
"28","SNHG3","ARHGAP15",1
"29","HSP90B1","ARHGDIB",2
"30","KIAA1267","ARL17A",132
"31","KIAA1267","ARL17B",96
"32","ARMCX4","ARMCX1",5
"33","RN28S1","ARPC3",3
"34","GNB2L1","ASAP1",10
"35","RPL28","ASAP1",1
"36","BUD31","ATAD3C",9
"37","CD74","ATG10",24
"38","INPP5D","ATG16L1",6
"39","TBC1D24","ATP6V0C",41
"40","CTDSP2","AVIL",1
"41","EEF2","AZU1",2
"42","RN28S1","AZU1",2
"43","TPT1","B4GALT5",6
"44","NCRNA00189","BACH1",123
"45","ZNF451","BAG2",2
"46","DUS4L","BCAP29",72
"47","TMEM91","BCKDHA",16
"48","PCBP2","BCL11A",6
"49","TEX12","BCO2",7
"50","ABL1","BCR",33
"51","CELA1","BIN2",2
"52","LTBP1","BIRC6",8
"53","COMMD3","BMI1",158
"54","RILPL2","BMPR2",1
"55","PARG","BMS1",1
"56","CTSLL2","BMS1P6",27
"57","C22orf34","BRD1",4
"58","HNRNPUL2","BSCL2",59
"59","LYZ","BTN2A1",5
"60","RN28S1","C10orf54",2
"61","SIK3","C11orf1",8
"62","C11orf51","C11orf59",2
"63","SDHAF2","C11orf66",18
"64","KDELC1","C13orf27",8
"65","SOS2","C14orf138",10
"66","VIPAR","C14orf148",64
"67","HBB","C14orf4",2
"68","ABCC6","C16orf70",3
"69","ZNF606","C19orf18",9
"70","RPS19","C1orf143",1
"71","ACOT11","C1orf175",9
"72","C1orf43","C1orf189",14
"73","TGIF2","C20orf24",134
"74","RRM2","C2orf48",502
"75","RNF4","C4orf8",80
"76","ZHX1","C8orf76",12
"77","S100A9","CACNA1D",7
"78","PLAUR","CADM4",3
"79","MALAT1","CALM1",2
"80","CLN6","CALML4",20
"81","hsa-mir-1977","CAT",1
"82","RPL23","CCAR1",3
"83","GBP3","CCBL2",21
"84","MBD1","CCDC11",40
"85","DOCK6","CCDC130",4
"86","PPCS","CCDC30",2
"87","C11orf73","CCDC81",6
"88","FGFR1OP","CCR6",12
"89","RN28S1","CD34",4
"90","RN18S1","CD37",2
"91","HSH2D","CD3EAP",18
"92","C2orf24","CD74",8
"93","CAT","CD74",1
"94","HBB","CD74",4
"95","HLA-C","CD74",21
"96","LYZ","CD74",2
"97","MPO","CD74",6
"98","PABPC1","CD74",3
"99","PTMA","CD74",15
"100","RN28S1","CD74",12
"101","S100A9","CD74",1
"102","STAB1","CD74",3
"103","NCRNA00103","CD99",194
"104","POLA2","CDC42EP2",32
"105","HBA2","CDK6",1
"106","RRN3P3","CDR2",23
"107","PRHOXNB","CDX2",2
"108","ELANE","CFD",2
"109","CD74","CFL1",6
"110","PSMA4","CHRNA5",6
"111","CD74","CLEC11A",6
"112","SLC2A3","CLEC16A",2
"113","CTNNBIP1","CLSTN1",70
"114","RPL15","CMTM7",5
"115","HACL1","COLQ",4287
"116","HOMER3","COPE",24
"117","RN28S1","CPNE1",1
"118","IL17RC","CRELD1",126
"119","S100Z","CRHBP",12
"120","SLC39A1","CRTC2",119
"121","CNPY2","CS",3
"122","KIAA0101","CSNK1G1",36
"123","TMX2","CTNND1",21
"124","HLA-B","CTSG",3
"125","RPS27A","CXCL14",6
"126","ZEB2","CXCR4",27
"127","UBE2D2","CXXC5",143
"128","IL2RG","CXorf65",97
"129","XK","CYBB",1
"130","hsa-mir-1977","CYTSB",1
"131","RPL14","DACH1",20
"132","PEX19","DCAF8",36
"133","GPR77","DHX34",4
"134","TRGC1","DIS3L2",1
"135","C20orf4","DLGAP4",3
"136","SLC25A16","DNA2",10
"137","GLYCTK","DNAH1",528
"138","TPD52L2","DNAJC5",236
"139","EIF3K","DNMT1",2
"140","HLA-DPA1","DSEL",4
"141","ITCH","DYNLRB1",6
"142","PXMP4","E2F1",4
"143","HSH2D","ECT2",6
"144","ARL8B","EDEM1",4
"145","MPO","EEF1A1",45
"146","RN28S1","EEF2",2
"147","PARP11","EFCAB4B",4
"148","CST3","EFCAB6",2
"149","RAB4B","EGLN2",6
"150","RN18S1","EGR1",1
"151","HBB","EIF4E",1
"152","HSP90AA1","EIF5B",2
"153","RN28S1","ELANE",3
"154","MLL","ELL",52
"155","ZNF585A","ELOF1",4
"156","MED8","ELOVL1",168
"157","ANKZF1","ERCC1",2
"158","HNRNPH1","ERG",117
"159","ARHGDIB","ERP27",1
"160","CLDND2","ETFB",2
"161","NKG7","ETFB",1
"162","EVI2A","EVI2B",140
"163","ACCS","EXT2",39
"164","NSUN4","FAAH",892
"165","ZFYVE16","FAM151B",14
"166","GPX7","FAM159A",13
"167","CDC73","FAM172A",12
"168","COX4I1","FAM184B",1
"169","GAPDH","FAM184B",24
"170","S100A9","FAM184B",1
"171","RPL14","FAM48B1",16
"172","ABHD2","FANCI",9
"173","POLR2A","FBN3",2
"174","TOMM5","FBXO10",22
"175","UBE2Q2","FBXO22",24
"176","FCRL1","FCRL2",48
"177","SEC63","FIG4",6
"178","CFD","FLVCR1",1
"179","B2M","FMNL1",2
"180","RPLP1","FOS",2
"181","RN28S1","FOSB",3
"182","EIF4E3","FOXP1",342
"183","FOS","FOXP1",5
"184","SHQ1","FOXP1",14
"185","EEF1DP3","FRY",139
"186","NCUBE1","GABRR2",14
"187","PES1","GAL3ST1",63
"188","D2HGDH","GAL3ST2",4
"189","GAPDHP21","GAPDH",23
"190","MPO","GAPDH",51
"191","RN28S1","GAPDH",11
"192","PMS2L1","GATS",16
"193","CALR","GDF7",3
"194","TNFAIP2","GDF7",1
"195","NFU1","GFPT1",2
"196","BCL7B","GGA1",1
"197","CD79B","GH1",15
"198","GIMAP2","GIMAP1",16
"199","ZFP41","GLI4",8
"200","PHF21A","GLIS2",4
"201","FAM129C","GLT25D1",54
"202","RN28S1","GNAI2",10
"203","RN28S1","GNAS",20
"204","RN28S1","GNB2L1",16
"205","TRIM52","GNB2L1",120
"206","CTBS","GNG5",1078
"207","CHFR","GOLGA3",48
"208","CD74","GPM6A",3
"209","TMSB10","GPM6A",1
"210","TFG","GPR128",27
"211","CAPN10","GPR35",18
"212","KBTBD2","GPR56",1
"213","PSME4","GPR75",10
"214","RPS24","GPR85",28
"215","DPM1","GRID1",21
"216","B2M","GRN",3
"217","GATSL1","GTF2I",17
"218","BZW2","GUSB",144
"219","RN28S1","H1FX",1
"220","WDR18","H2AFX",1
"221","TIFAB","H2AFY",12
"222","HAVCR2","HAVCR1",8
"223","HBB","HBA1",14
"224","PABPC1","HBA1",2
"225","RPL28","HBA1",10
"226","CLEC11A","HBA2",9
"227","ELANE","HBA2",3
"228","HBB","HBA2",32
"229","PABPC1","HBA2",2
"230","RPL28","HBA2",10
"231","TPT1","HBA2",4
"232","HBA1","HBB",4
"233","HBA2","HBB",7
"234","HBBP1","HBD",3
"235","HBA1","HBG2",30
"236","HBA2","HBG2",40
"237","TRIM5","HBG2",13
"238","RN28S1","HCG4P5",1
"239","FAM175A","HELQ",283
"240","SLC35A3","HIAT1",46
"241","SLC12A6","HLA-90",42
"242","RN18S1","HLA-B",5
"243","HLA-G","HLA-C",31
"244","HLA-DPB2","HLA-DPB1",26
"245","HLA-DRB1","HLA-DPB1",1
"246","RN28S1","HLA-E",1
"247","HCG4P5","HLA-H",1
"248","TPT1","HNRNPA2B1",9
"249","MARCH2","HNRNPM",18
"250","CTSS","HORMAD1",164
"251","HOXA4","HOXA3",168
"252","HOXA6","HOXA5",4
"253","HOXA4","HOXA9",4
"254","HOXB6","HOXB3",2
"255","ATP1B2","HSD17B12",1
"256","TPT1","HSPA4",8
"257","RPL4","HSPA8",9
"258","TPT1","HTATIP2",20
"259","CD74","IER2",4
"260","IGHM","IGHD",18
"261","CBFA2T3","IGHM",12
"262","IGHV3-30","IGHM",3
"263","IGHV3-9","IGHM",1
"264","IGHG1","IGHV1-18",3
"265","IGHA1","IGHV1-2",2
"266","IGHG2","IGHV1-46",3
"267","IGHG1","IGHV1-69",6
"268","IGHG1","IGHV2-5",3
"269","IGHA1","IGHV3-21",3
"270","IGHA1","IGHV3-30",3
"271","IGHG1","IGHV3-30",29
"272","IGHG2","IGHV3-30",2
"273","IGHG3","IGHV3-30",9
"274","IGHG4","IGHV3-30",1
"275","IGHA1","IGHV3-33",2
"276","IGHG1","IGHV3-33",24
"277","IGHG3","IGHV3-33",9
"278","IGHG2","IGHV3-48",2
"279","IGHG2","IGHV3-7",1
"280","IGHG4","IGHV3-74",2
"281","IGHA1","IGHV3-9",10
"282","IGHG1","IGHV4-31",3
"283","IGHG1","IGHV4-34",4
"284","IGHG2","IGHV4-34",2
"285","IGHA1","IGHV4-39",1
"286","IGHG1","IGHV4-39",3
"287","IGHG3","IGHV4-39",6
"288","IGHG2","IGHV4-4",2
"289","IGHG1","IGHV4-61",6
"290","IGHG2","IGHV4-61",2
"291","IGHG1","IGHV5-51",2
"292","IGHA1","IGHV@",1
"293","IGHG1","IGHV@",9
"294","IGHG2","IGHV@",1
"295","IGLC3","IGLV1-40",2
"296","IGLC3","IGLV1-44",2
"297","IGLC3","IGLV1-47",1
"298","IGLC3","IGLV3-19",1
"299","IGLC1","IGLV3-21",1
"300","GALT","IL11RA",66
"301","C15orf26","IL16",36
"302","CECR7","IL17RA",12
"303","JAK3","INSL3",35
"304","TM9SF1","IPO4",2
"305","ACTG1","IRS2",3
"306","TMSB4Y","KALP",19
