"","Barcode","Head","Tail","Soap","FusionScan","Prada"
"1","TCGA-AB-2806-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"2","TCGA-AB-2814-03A","HNRNPH1","ERG","Soapfuse","Fusionscan","pyPRADA"
"3","TCGA-AB-2819-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"4","TCGA-AB-2840-03A","RARA","PML","Soapfuse","Fusionscan","pyPRADA"
"5","TCGA-AB-2849-03A","MLLT10","PICALM","Soapfuse","Fusionscan","pyPRADA"
"6","TCGA-AB-2849-03A","PICALM","MLLT10","Soapfuse","Fusionscan","pyPRADA"
"7","TCGA-AB-2856-03A","NSD1","NUP98","Soapfuse","Fusionscan","pyPRADA"
"8","TCGA-AB-2858-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"9","TCGA-AB-2875-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"10","TCGA-AB-2886-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"11","TCGA-AB-2904-03A","DNMT3B","MDM4","Soapfuse","Fusionscan","pyPRADA"
"12","TCGA-AB-2915-03A","RUNX1","MECOM","Soapfuse","Fusionscan","pyPRADA"
"13","TCGA-AB-2915-03A","DPM1","GRID1","Soapfuse","Fusionscan","pyPRADA"
"14","TCGA-AB-2930-03A","NSD1","NUP98","Soapfuse","Fusionscan","pyPRADA"
"15","TCGA-AB-2937-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"16","TCGA-AB-2939-03A","CDC73","FAM172A","Soapfuse","Fusionscan","pyPRADA"
"17","TCGA-AB-2939-03A","CHD1","MTOR","Soapfuse","Fusionscan","pyPRADA"
"18","TCGA-AB-2941-03A","ABL1","BCR","Soapfuse","Fusionscan","pyPRADA"
"19","TCGA-AB-2950-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"20","TCGA-AB-2982-03B","PML","RARA","Soapfuse","Fusionscan","pyPRADA"
"21","TCGA-AB-2991-03A","PML","RARA","Soapfuse","Fusionscan","pyPRADA"
"22","TCGA-AB-2994-03A","RARA","PML","Soapfuse","Fusionscan","pyPRADA"
"23","TCGA-AB-3001-03A","RARA","PML","Soapfuse","Fusionscan","pyPRADA"
"24","TCGA-AB-3007-03A","PML","RARA","Soapfuse","Fusionscan","pyPRADA"
"25","TCGA-AB-3012-03A","RARA","PML","Soapfuse","Fusionscan","pyPRADA"
"26","TCGA-AB-2817-03A","BCR","ABL1","Soapfuse","Fusionscan",NA
"27","TCGA-AB-2901-03A","BCR","ABL1","Soapfuse","Fusionscan",NA
"28","TCGA-AB-2938-03A","POLR2A","FBN3","Soapfuse","Fusionscan",NA
"29","TCGA-AB-2939-03A","BZW2","GUSB","Soapfuse","Fusionscan",NA
"30","TCGA-AB-2941-03A","BCR","ABL1","Soapfuse","Fusionscan",NA
"31","TCGA-AB-2828-03A","CBFB","MYH11","Soapfuse","Fusionscan",NA
"32","TCGA-AB-2846-03A","CBFB","MYH11","Soapfuse","Fusionscan",NA
