Barcode	Gene	Value
1	1	6
2	2	6
3	1	6
4	3	6
5	4	6
5	5	6
6	6	6
7	1	6
8	1	6
9	1	6
10	7	6
11	8	6
11	9	6
12	6	6
13	1	6
14	10	6
14	11	6
15	12	6
16	1	6
17	13	6
18	13	6
19	3	6
20	3	6
21	13	6
22	3	6
23	14	4
24	14	4
25	15	4
14	16	4
15	14	4
26	17	4
27	17	4
28	17	4
29	17	4
30	17	4
31	18	4
32	19	4
33	17	4
34	13	2
23	12	2
35	13	2
35	3	2
36	20	2
36	21	2
37	22	2
4	13	2
38	20	2
39	22	2
40	23	2
41	4	2
41	5	2
42	24	2
42	25	2
42	26	2
43	13	2
44	13	2
45	13	2
24	12	2
46	22	2
12	27	2
47	28	2
25	29	2
15	30	2
48	31	2
49	13	2
49	3	2
50	20	2
18	3	2
19	13	2
51	13	2
51	3	2
52	13	2
20	13	2
53	20	2
21	3	2
