"","Barcode","Head","Tail","Tophat","Soap","FusionScan","Prada"
"1","TCGA-AB-2806-03A","RUNX1","RUNX1T1","Tophat","Soapfuse","Fusionscan","pyPRADA"
"2","TCGA-AB-2819-03A","RUNX1","RUNX1T1","Tophat","Soapfuse","Fusionscan","pyPRADA"
"3","TCGA-AB-2858-03A","RUNX1","RUNX1T1","Tophat","Soapfuse","Fusionscan","pyPRADA"
"4","TCGA-AB-2875-03A","RUNX1","RUNX1T1","Tophat","Soapfuse","Fusionscan","pyPRADA"
"5","TCGA-AB-2886-03A","RUNX1","RUNX1T1","Tophat","Soapfuse","Fusionscan","pyPRADA"
"6","TCGA-AB-2937-03A","RUNX1","RUNX1T1","Tophat","Soapfuse","Fusionscan","pyPRADA"
"7","TCGA-AB-2950-03A","RUNX1","RUNX1T1","Tophat","Soapfuse","Fusionscan","pyPRADA"
"8","TCGA-AB-2982-03B","PML","RARA","Tophat","Soapfuse","Fusionscan","pyPRADA"
"9","TCGA-AB-3007-03A","PML","RARA","Tophat","Soapfuse","Fusionscan","pyPRADA"
"10","TCGA-AB-2803-03A","PML","RARA","Tophat","Soapfuse",NA,"pyPRADA"
"11","TCGA-AB-2862-03A","PML","RARA","Tophat","Soapfuse",NA,"pyPRADA"
"12","TCGA-AB-2872-03A","PML","RARA","Tophat","Soapfuse",NA,"pyPRADA"
"13","TCGA-AB-2897-03A","PML","RARA","Tophat","Soapfuse",NA,"pyPRADA"
"14","TCGA-AB-2994-03A","PML","RARA","Tophat","Soapfuse",NA,"pyPRADA"
"15","TCGA-AB-2999-03B","PML","RARA","Tophat","Soapfuse",NA,"pyPRADA"
"16","TCGA-AB-2803-03A","AGBL5","OST4","Tophat",NA,NA,NA
"17","TCGA-AB-2803-03A","AHSA2","USP34","Tophat",NA,NA,NA
"18","TCGA-AB-2803-03A","ALYREF","ENSG00000219039","Tophat",NA,NA,NA
"19","TCGA-AB-2803-03A","ANKRD30BL","ACTB","Tophat",NA,NA,NA
"20","TCGA-AB-2803-03A","ANKRD30BL","ENSG00000225630","Tophat",NA,NA,NA
"21","TCGA-AB-2803-03A","ANKRD30BL","ENSG00000237973","Tophat",NA,NA,NA
"22","TCGA-AB-2803-03A","ANKRD30BL","ENSG00000239843","Tophat",NA,NA,NA
"23","TCGA-AB-2803-03A","ANKRD30BL","ENSG00000239935","Tophat",NA,NA,NA
"24","TCGA-AB-2803-03A","ANKRD30BL","GRN","Tophat",NA,NA,NA
"25","TCGA-AB-2803-03A","ANKRD30BL","MPO","Tophat",NA,NA,NA
"26","TCGA-AB-2803-03A","ANKRD30BL","PCBD2","Tophat",NA,NA,NA
"27","TCGA-AB-2803-03A","ANKRD30BL","PDE3A","Tophat",NA,NA,NA
"28","TCGA-AB-2803-03A","ANKRD30BL","PID1","Tophat",NA,NA,NA
"29","TCGA-AB-2803-03A","ATP13A1","ENSG00000249155","Tophat",NA,NA,NA
"30","TCGA-AB-2803-03A","AZU1","ENSG00000198744","Tophat",NA,NA,NA
"31","TCGA-AB-2803-03A","BECN1","CNTD1","Tophat",NA,NA,NA
