"","Barcode","Head","Tail","Tophat","Soap","FusionScan","Prada"
"1","TCGA-AB-2803-03A_1","AGBL5","OST4","Tophat",NA,NA,NA
"2","TCGA-AB-2803-03A_1","AHSA2","USP34","Tophat",NA,NA,NA
"3","TCGA-AB-2803-03A_1","ANKRD30BL","ENSG00000225630","Tophat",NA,NA,NA
"4","TCGA-AB-2803-03A_1","ANKRD30BL","ENSG00000239843","Tophat",NA,NA,NA
"6","TCGA-AB-2803-03A_1","ANKRD30BL","ENSG00000239935","Tophat",NA,NA,NA
"7","TCGA-AB-2803-03A_1","ANKRD30BL","MPO","Tophat",NA,NA,NA
"10","TCGA-AB-2803-03A_1","ANKRD30BL","PCBD2","Tophat",NA,NA,NA
"11","TCGA-AB-2803-03A_1","ATP13A1","ENSG00000249155","Tophat",NA,NA,NA
"12","TCGA-AB-2803-03A_1","AZU1","ENSG00000198744","Tophat",NA,NA,NA
"13","TCGA-AB-2803-03A_1","BECN1","CNTD1","Tophat",NA,NA,NA
"14","TCGA-AB-2803-03A_1","BHLHE40-AS1","BHLHE40","Tophat",NA,NA,NA
"16","TCGA-AB-2803-03A_1","CDK5RAP3","ENSG00000224628","Tophat",NA,NA,NA
"17","TCGA-AB-2803-03A_1","CHPT1","SYCP3","Tophat",NA,NA,NA
"18","TCGA-AB-2803-03A_1","CLIC1","CEP112","Tophat",NA,NA,NA
"19","TCGA-AB-2803-03A_1","CLIC1","ENSG00000231313","Tophat",NA,NA,NA
"21","TCGA-AB-2803-03A_1","CR1L","CR1","Tophat",NA,NA,NA
"22","TCGA-AB-2803-03A_1","DDIT3","MARS","Tophat",NA,NA,NA
"26","TCGA-AB-2803-03A_1","DDX17","KDELR3","Tophat",NA,NA,NA
"27","TCGA-AB-2803-03A_1","DDX3X","ENSG00000251577","Tophat",NA,NA,NA
"28","TCGA-AB-2803-03A_1","DDX3Y","DDX3X","Tophat",NA,NA,NA
"29","TCGA-AB-2803-03A_1","DLG2","UNC45B","Tophat",NA,NA,NA
"34","TCGA-AB-2803-03A_1","DYNLT1","ENSG00000250613","Tophat",NA,NA,NA
"35","TCGA-AB-2803-03A_1","EIF3E","KHDC1","Tophat",NA,NA,NA
"36","TCGA-AB-2803-03A_1","EIF3G","P2RY11","Tophat",NA,NA,NA
"37","TCGA-AB-2803-03A_1","EIF3I","EIF3IP1","Tophat",NA,NA,NA
"38","TCGA-AB-2803-03A_1","ELANE","PRTN3",NA,"Soapfuse",NA,NA
"40","TCGA-AB-2803-03A_1","ENO1","EDARADD","Tophat",NA,NA,NA
"42","TCGA-AB-2803-03A_1","FAM154A","PSMC3","Tophat",NA,NA,NA
"43","TCGA-AB-2803-03A_1","FTH1","BEST1","Tophat",NA,NA,NA
"44","TCGA-AB-2803-03A_1","FTL","ENSG00000232368","Tophat",NA,NA,NA
"45","TCGA-AB-2803-03A_1","FTL","ZNF302",NA,"Soapfuse",NA,NA
"47","TCGA-AB-2803-03A_1","GNB2L1","GRID2","Tophat",NA,NA,NA
"48","TCGA-AB-2803-03A_1","GRB14","EIF3E","Tophat",NA,NA,NA
"49","TCGA-AB-2803-03A_1","HCG17","HLA-C","Tophat",NA,NA,NA
"50","TCGA-AB-2803-03A_1","HCST","ENSG00000167604","Tophat",NA,NA,NA
"51","TCGA-AB-2803-03A_1","HFM1","ENSG00000226958","Tophat",NA,NA,NA
